Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision
Lanús,Racing,2025-05-25,Monumental,gol legítimo,34',Yes,Gol anulado
Independiente,Boca,2024-10-13,Monumental,mano en el área tras un centro,64',No,Penal
San Lorenzo,Racing,2024-05-08,Cilindro,empujón dentro del área,9',Yes,Amarilla
Independiente,River,2024-10-27,Cilindro,codazo en salto,59',Yes,Roja
Boca,San Lorenzo,2025-04-22,Cilindro,simulación de falta,56',No,Gol anulado
River,Independiente,2024-07-19,Cilindro,remate desviado tras rebote,6',No,Gol válido
Huracán,Lanús,2024-09-23,La Bombonera,codazo en salto,18',No,Roja
Independiente,Huracán,2024-01-09,Monumental,codazo en salto,78',No,Amarilla
Boca,Racing,2024-10-10,Monumental,simulación de falta,76',No,Offside
Lanús,Boca,2024-04-01,La Bombonera,remate desviado tras rebote,82',No,Amarilla
San Lorenzo,River,2024-09-09,Libertadores de América,contacto leve en el área,82',Yes,Gol válido
Racing,Vélez,2023-11-22,Libertadores de América,contacto leve en el área,37',Yes,Penal
San Lorenzo,River,2023-06-17,Cilindro,contacto leve en el área,63',No,Gol válido
Boca,Racing,2023-08-26,La Bombonera,gol con la mano,53',Yes,Offside
Boca,Huracán,2024-10-08,Cilindro,empujón dentro del área,19',No,No penal
San Lorenzo,Vélez,2024-02-24,Libertadores de América,posición adelantada en el gol,17',No,Amarilla
River,Independiente,2024-12-07,Cilindro,entrada fuerte desde atrás,34',Yes,Gol anulado
Boca,Huracán,2024-12-04,La Bombonera,contacto leve en el área,44',Yes,Offside
Independiente,River,2025-05-05,Monumental,simulación de falta,33',Yes,No penal
River,Independiente,2023-06-07,Monumental,simulación de falta,26',Yes,Offside
Lanús,River,2023-08-03,Nuevo Gasómetro,entrada fuerte desde atrás,36',Yes,Gol válido
Independiente,Racing,2025-01-07,La Bombonera,gol legítimo,22',No,Offside
Boca,Vélez,2023-11-26,Nuevo Gasómetro,remate desviado tras rebote,14',No,Amarilla
River,Vélez,2024-11-05,Libertadores de América,empujón dentro del área,5',No,Roja
Boca,Lanús,2023-08-28,Libertadores de América,entrada fuerte desde atrás,23',No,Penal
Boca,Racing,2024-02-19,Monumental,entrada fuerte desde atrás,81',Yes,Offside
Independiente,Lanús,2024-08-28,Cilindro,codazo en salto,88',No,Roja
Lanús,Independiente,2024-09-14,Cilindro,contacto leve en el área,23',Yes,Gol anulado
Huracán,Lanús,2025-04-29,Monumental,gol con la mano,36',No,Penal
Independiente,River,2023-08-20,Nuevo Gasómetro,remate desviado tras rebote,36',No,Amarilla
Racing,Lanús,2025-05-25,Nuevo Gasómetro,posición adelantada en el gol,2',No,Amarilla
San Lorenzo,Boca,2024-08-31,Nuevo Gasómetro,codazo en salto,31',No,Offside
Independiente,Vélez,2023-10-19,Libertadores de América,simulación de falta,61',No,Gol anulado
San Lorenzo,Vélez,2024-04-03,Monumental,simulación de falta,79',No,Offside
Vélez,Boca,2023-11-06,La Bombonera,gol legítimo,8',Yes,Offside
San Lorenzo,Lanús,2024-01-23,Libertadores de América,mano en el área tras un centro,50',Yes,Roja
Lanús,Boca,2024-05-04,Libertadores de América,empujón dentro del área,70',Yes,Amarilla
Racing,Lanús,2025-04-03,Cilindro,entrada fuerte desde atrás,64',No,Gol anulado
Vélez,Boca,2023-08-22,Nuevo Gasómetro,remate desviado tras rebote,53',No,Penal
Lanús,Racing,2025-01-07,La Bombonera,mano en el área tras un centro,74',Yes,Roja
Independiente,Boca,2025-06-01,La Bombonera,empujón dentro del área,55',Yes,No penal
Vélez,San Lorenzo,2024-04-09,Monumental,mano en el área tras un centro,71',No,Gol válido
Huracán,Vélez,2023-11-05,Monumental,mano en el área tras un centro,61',No,Amarilla
San Lorenzo,River,2024-08-31,Nuevo Gasómetro,gol legítimo,18',Yes,Gol válido
San Lorenzo,Racing,2025-05-05,Libertadores de América,entrada fuerte desde atrás,29',Yes,Gol anulado
Independiente,Racing,2024-03-05,La Bombonera,codazo en salto,71',No,Roja
Huracán,Boca,2023-09-01,Cilindro,gol legítimo,77',Yes,Penal
Huracán,Racing,2025-04-29,Monumental,empujón dentro del área,69',Yes,No penal
San Lorenzo,Huracán,2024-08-29,Nuevo Gasómetro,empujón dentro del área,84',No,Gol válido
River,Independiente,2023-11-18,Monumental,empujón dentro del área,67',No,Amarilla
River,Huracán,2024-04-17,La Bombonera,mano en el área tras un centro,46',No,Amarilla
Independiente,Vélez,2025-05-09,Cilindro,posición adelantada en el gol,25',Yes,No penal
Huracán,Independiente,2024-04-18,Cilindro,simulación de falta,63',No,Gol válido
Independiente,San Lorenzo,2023-10-19,Cilindro,contacto leve en el área,37',Yes,No penal
San Lorenzo,Huracán,2025-03-24,Nuevo Gasómetro,mano en el área tras un centro,33',Yes,Amarilla
River,San Lorenzo,2024-11-22,Libertadores de América,gol legítimo,51',No,Amarilla
Racing,River,2023-10-03,Monumental,gol con la mano,23',Yes,Amarilla
Vélez,River,2023-07-18,Nuevo Gasómetro,remate desviado tras rebote,39',Yes,Gol válido
River,Lanús,2023-08-01,Libertadores de América,empujón dentro del área,79',No,Offside
River,San Lorenzo,2024-08-21,Monumental,contacto leve en el área,88',No,Penal
Racing,Huracán,2024-08-02,Cilindro,entrada fuerte desde atrás,12',No,Gol anulado
Huracán,Independiente,2024-06-14,La Bombonera,codazo en salto,52',Yes,Amarilla
Huracán,River,2025-04-26,La Bombonera,entrada fuerte desde atrás,32',Yes,Penal
Racing,River,2025-02-03,Libertadores de América,remate desviado tras rebote,18',No,Roja
San Lorenzo,Independiente,2023-08-14,Nuevo Gasómetro,remate desviado tras rebote,43',Yes,Gol anulado
Racing,Lanús,2023-11-27,Nuevo Gasómetro,empujón dentro del área,62',Yes,Gol anulado
Racing,San Lorenzo,2025-01-08,La Bombonera,empujón dentro del área,32',No,Gol anulado
Vélez,Boca,2025-05-22,Monumental,mano en el área tras un centro,56',No,Penal
Lanús,Boca,2023-08-14,La Bombonera,gol con la mano,30',Yes,Gol anulado
Vélez,Racing,2025-01-30,Monumental,posición adelantada en el gol,60',No,Amarilla
Lanús,Huracán,2023-12-04,La Bombonera,gol legítimo,22',Yes,Offside
Lanús,River,2024-07-02,Monumental,empujón dentro del área,59',No,Gol válido
Lanús,Huracán,2024-11-07,Monumental,empujón dentro del área,30',Yes,Amarilla
Racing,Lanús,2023-10-29,Cilindro,simulación de falta,40',Yes,Offside
Independiente,Racing,2025-05-08,Libertadores de América,mano en el área tras un centro,37',Yes,Gol anulado
Vélez,River,2023-09-24,Cilindro,entrada fuerte desde atrás,50',No,Roja
Racing,Lanús,2023-09-13,Cilindro,simulación de falta,60',Yes,Gol válido
River,Vélez,2024-09-24,Monumental,gol legítimo,78',Yes,Penal
Racing,River,2024-07-14,Cilindro,remate desviado tras rebote,49',Yes,Roja
Huracán,Vélez,2025-01-08,Cilindro,contacto leve en el área,11',Yes,Gol anulado
Vélez,River,2024-01-14,Libertadores de América,gol legítimo,80',Yes,Penal
Independiente,Boca,2023-10-15,Cilindro,entrada fuerte desde atrás,27',No,Offside
Boca,Vélez,2024-09-11,Libertadores de América,contacto leve en el área,18',Yes,Gol válido
River,Lanús,2025-03-07,Cilindro,posición adelantada en el gol,81',No,No penal
Independiente,Racing,2024-01-25,Libertadores de América,gol con la mano,56',Yes,Gol válido
Independiente,Racing,2023-10-09,Monumental,posición adelantada en el gol,32',Yes,Gol válido
Vélez,San Lorenzo,2025-04-08,La Bombonera,gol legítimo,12',Yes,Amarilla
Vélez,Lanús,2023-06-14,Monumental,mano en el área tras un centro,28',No,Roja
San Lorenzo,Vélez,2023-07-21,Monumental,entrada fuerte desde atrás,24',Yes,Offside
Racing,Huracán,2025-04-06,Nuevo Gasómetro,contacto leve en el área,54',Yes,Gol válido
Independiente,Racing,2024-09-06,Nuevo Gasómetro,codazo en salto,29',Yes,Offside
San Lorenzo,Independiente,2024-11-03,Libertadores de América,contacto leve en el área,75',No,Gol válido
Boca,Independiente,2024-12-21,Cilindro,entrada fuerte desde atrás,31',Yes,Roja
Racing,Vélez,2024-12-03,Cilindro,mano en el área tras un centro,27',No,Penal
Huracán,Boca,2025-02-13,Monumental,codazo en salto,16',No,Gol anulado
San Lorenzo,Boca,2024-03-01,Cilindro,gol legítimo,36',No,Penal
River,Racing,2025-04-09,Cilindro,codazo en salto,63',No,Gol válido
Lanús,River,2023-09-10,Monumental,gol legítimo,22',Yes,Gol válido
Boca,Lanús,2023-11-11,Cilindro,mano en el área tras un centro,14',No,Amarilla
Lanús,Huracán,2024-07-31,Libertadores de América,simulación de falta,24',No,Roja
Independiente,San Lorenzo,2024-05-01,La Bombonera,empujón dentro del área,45',No,Gol válido
Vélez,Lanús,2023-09-22,Monumental,gol con la mano,49',Yes,Gol válido
Racing,San Lorenzo,2025-03-08,Cilindro,codazo en salto,6',No,Amarilla
Lanús,Huracán,2024-12-28,La Bombonera,remate desviado tras rebote,35',Yes,No penal
Independiente,Vélez,2023-08-19,La Bombonera,simulación de falta,83',Yes,Gol anulado
Racing,Huracán,2024-06-05,La Bombonera,mano en el área tras un centro,41',No,Penal
Racing,Huracán,2024-03-07,Libertadores de América,codazo en salto,79',No,Gol anulado
Huracán,Independiente,2024-03-10,La Bombonera,contacto leve en el área,11',No,Penal
Vélez,San Lorenzo,2024-11-11,La Bombonera,gol legítimo,66',Yes,Gol anulado
Huracán,San Lorenzo,2024-10-05,Cilindro,entrada fuerte desde atrás,10',Yes,Offside
Vélez,Huracán,2024-12-06,Nuevo Gasómetro,entrada fuerte desde atrás,1',No,No penal
River,Racing,2024-02-21,Libertadores de América,codazo en salto,73',Yes,Penal
Boca,San Lorenzo,2024-06-22,Monumental,gol legítimo,7',No,Amarilla
San Lorenzo,Huracán,2024-02-12,Libertadores de América,codazo en salto,40',No,Gol anulado
San Lorenzo,Racing,2023-07-19,La Bombonera,empujón dentro del área,21',Yes,Amarilla
Vélez,River,2024-07-30,La Bombonera,empujón dentro del área,45',Yes,Gol válido
Independiente,Vélez,2024-06-19,Libertadores de América,gol legítimo,40',No,Penal
Racing,Boca,2024-10-07,Monumental,posición adelantada en el gol,46',No,Amarilla
Independiente,Racing,2024-10-16,La Bombonera,codazo en salto,12',Yes,No penal
Vélez,Racing,2025-03-02,Cilindro,remate desviado tras rebote,11',No,Gol válido
Racing,Huracán,2025-01-16,Libertadores de América,codazo en salto,54',Yes,Offside
Vélez,Racing,2024-01-23,Nuevo Gasómetro,mano en el área tras un centro,49',Yes,Gol anulado
Racing,Lanús,2024-09-17,Monumental,remate desviado tras rebote,30',Yes,Roja
Vélez,River,2024-06-27,Monumental,gol con la mano,17',No,Roja
Boca,Independiente,2024-12-26,Monumental,contacto leve en el área,24',No,Amarilla
Huracán,Boca,2024-02-18,Cilindro,contacto leve en el área,56',Yes,Amarilla
Independiente,Racing,2023-09-23,Nuevo Gasómetro,gol legítimo,83',Yes,Penal
Huracán,San Lorenzo,2024-05-22,Monumental,contacto leve en el área,51',No,Roja
Racing,Lanús,2024-02-27,Monumental,gol con la mano,4',Yes,Offside
River,San Lorenzo,2024-09-24,Libertadores de América,gol con la mano,48',No,Roja
Lanús,San Lorenzo,2023-09-15,Cilindro,empujón dentro del área,47',No,Gol anulado
San Lorenzo,Huracán,2024-05-02,Libertadores de América,empujón dentro del área,75',No,Roja
Racing,Boca,2025-03-28,Cilindro,remate desviado tras rebote,3',No,Offside
San Lorenzo,Racing,2024-10-31,La Bombonera,gol con la mano,59',Yes,Penal
Vélez,Huracán,2025-05-07,Monumental,codazo en salto,57',Yes,Offside
Lanús,River,2024-12-29,Monumental,mano en el área tras un centro,69',Yes,Offside
Boca,Huracán,2024-10-28,Nuevo Gasómetro,contacto leve en el área,1',Yes,Gol válido
Huracán,Lanús,2024-01-15,La Bombonera,gol con la mano,80',No,Gol válido
Lanús,River,2025-01-05,Nuevo Gasómetro,gol con la mano,34',Yes,No penal
Racing,Huracán,2024-04-22,Libertadores de América,gol con la mano,55',No,Roja
Independiente,River,2024-04-30,La Bombonera,entrada fuerte desde atrás,13',No,Roja
Independiente,San Lorenzo,2024-05-05,La Bombonera,posición adelantada en el gol,20',No,Gol válido
Huracán,River,2024-11-19,Cilindro,codazo en salto,44',Yes,Gol válido
San Lorenzo,Vélez,2024-09-09,Monumental,remate desviado tras rebote,12',Yes,Roja
River,Independiente,2023-08-12,La Bombonera,gol con la mano,57',Yes,Amarilla
Huracán,Racing,2024-12-04,La Bombonera,mano en el área tras un centro,67',Yes,No penal
Independiente,Boca,2025-05-19,Monumental,gol legítimo,88',Yes,No penal
Independiente,Huracán,2025-03-06,Cilindro,gol con la mano,63',No,No penal
Racing,San Lorenzo,2024-05-28,Libertadores de América,empujón dentro del área,69',Yes,Penal
Independiente,Huracán,2023-10-18,Cilindro,gol con la mano,88',No,Roja
River,Vélez,2023-09-09,La Bombonera,gol con la mano,88',Yes,Gol válido
Vélez,Independiente,2024-03-19,Cilindro,codazo en salto,10',No,Offside
Independiente,Racing,2024-08-12,Cilindro,gol legítimo,71',No,Amarilla
Boca,River,2025-01-20,Monumental,simulación de falta,60',No,Offside
Vélez,Racing,2024-05-06,Nuevo Gasómetro,gol con la mano,70',Yes,Penal
River,Boca,2023-09-07,Monumental,gol con la mano,88',Yes,Amarilla
Boca,Independiente,2025-01-30,Libertadores de América,gol legítimo,33',Yes,Gol válido
River,Boca,2024-07-17,Nuevo Gasómetro,mano en el área tras un centro,32',No,Gol anulado
Huracán,San Lorenzo,2023-10-04,Monumental,remate desviado tras rebote,34',Yes,Roja
Lanús,River,2025-01-27,Libertadores de América,gol con la mano,3',No,Gol anulado
Boca,Independiente,2024-03-21,Cilindro,contacto leve en el área,70',No,No penal
San Lorenzo,Lanús,2023-07-17,La Bombonera,remate desviado tras rebote,65',Yes,Roja
Racing,Vélez,2024-07-07,Monumental,simulación de falta,19',Yes,No penal
Lanús,Boca,2025-01-07,Cilindro,contacto leve en el área,87',No,Penal
Huracán,Independiente,2024-05-20,Nuevo Gasómetro,gol con la mano,8',No,Offside
Boca,Huracán,2024-04-18,Cilindro,mano en el área tras un centro,49',Yes,Gol válido
Boca,Lanús,2023-06-25,Nuevo Gasómetro,entrada fuerte desde atrás,59',Yes,No penal
Boca,River,2024-07-25,Monumental,gol legítimo,27',Yes,Gol válido
River,San Lorenzo,2024-12-20,Nuevo Gasómetro,contacto leve en el área,87',Yes,No penal
River,Boca,2023-07-28,La Bombonera,empujón dentro del área,6',No,Roja
San Lorenzo,Lanús,2023-11-04,Nuevo Gasómetro,posición adelantada en el gol,85',Yes,Roja
Vélez,Boca,2024-09-17,La Bombonera,simulación de falta,7',No,Penal
River,Boca,2024-12-12,Nuevo Gasómetro,entrada fuerte desde atrás,3',No,Gol válido
Lanús,Independiente,2023-12-10,Libertadores de América,posición adelantada en el gol,38',No,Roja
Boca,Vélez,2024-01-28,La Bombonera,mano en el área tras un centro,61',Yes,Penal
Vélez,Independiente,2023-07-31,Nuevo Gasómetro,entrada fuerte desde atrás,20',Yes,Amarilla
Racing,Huracán,2023-06-14,Cilindro,simulación de falta,46',No,Amarilla
San Lorenzo,Huracán,2025-05-09,La Bombonera,contacto leve en el área,39',No,Amarilla
Huracán,Lanús,2024-09-25,Cilindro,posición adelantada en el gol,88',Yes,No penal
Lanús,Boca,2023-11-21,Libertadores de América,remate desviado tras rebote,28',No,Gol anulado
Lanús,Huracán,2024-08-08,Monumental,simulación de falta,30',Yes,Penal
Racing,San Lorenzo,2024-01-02,Cilindro,remate desviado tras rebote,45',No,Gol anulado
Racing,Vélez,2023-09-04,Nuevo Gasómetro,contacto leve en el área,53',No,Gol anulado
River,San Lorenzo,2024-07-22,Monumental,empujón dentro del área,41',No,Amarilla
Vélez,Huracán,2024-10-26,Nuevo Gasómetro,entrada fuerte desde atrás,21',Yes,Penal
San Lorenzo,River,2024-01-25,La Bombonera,codazo en salto,68',Yes,No penal
Huracán,Boca,2024-05-13,La Bombonera,codazo en salto,90',Yes,Amarilla
Independiente,Racing,2023-08-22,Nuevo Gasómetro,empujón dentro del área,48',No,Gol válido
Huracán,Vélez,2024-05-13,Nuevo Gasómetro,empujón dentro del área,78',No,Gol válido
Independiente,Huracán,2024-10-27,Cilindro,codazo en salto,65',Yes,No penal
River,Huracán,2024-09-27,La Bombonera,gol legítimo,10',Yes,Gol válido
Lanús,Independiente,2025-05-30,Nuevo Gasómetro,gol con la mano,34',Yes,Roja
Huracán,River,2023-12-30,Nuevo Gasómetro,codazo en salto,74',Yes,Gol anulado
Boca,Racing,2023-06-28,Monumental,gol con la mano,25',No,Amarilla
Huracán,San Lorenzo,2024-10-17,Libertadores de América,mano en el área tras un centro,43',Yes,Gol válido
Lanús,Huracán,2024-03-06,Cilindro,gol con la mano,81',Yes,Penal
San Lorenzo,River,2023-09-03,Nuevo Gasómetro,simulación de falta,73',Yes,Gol válido
River,Huracán,2023-07-28,Nuevo Gasómetro,gol con la mano,8',Yes,Penal
Lanús,San Lorenzo,2023-07-16,Libertadores de América,mano en el área tras un centro,39',No,Penal
Lanús,San Lorenzo,2023-08-02,Cilindro,simulación de falta,62',No,Penal
Independiente,San Lorenzo,2024-03-01,Libertadores de América,contacto leve en el área,21',Yes,No penal
San Lorenzo,Racing,2023-10-04,Cilindro,simulación de falta,5',Yes,Gol anulado
Independiente,River,2024-01-09,La Bombonera,gol legítimo,21',No,Roja
Racing,San Lorenzo,2024-06-12,Nuevo Gasómetro,entrada fuerte desde atrás,72',No,Roja
Independiente,San Lorenzo,2023-09-19,Libertadores de América,simulación de falta,65',Yes,Gol válido
Boca,Vélez,2024-08-21,Nuevo Gasómetro,empujón dentro del área,61',No,Roja
River,Lanús,2024-10-15,Nuevo Gasómetro,codazo en salto,90',No,Gol válido
San Lorenzo,Racing,2025-05-31,Cilindro,contacto leve en el área,82',Yes,Gol anulado
Huracán,River,2025-03-06,Monumental,codazo en salto,52',No,No penal
Huracán,Boca,2025-04-16,Monumental,remate desviado tras rebote,1',Yes,Roja
San Lorenzo,Lanús,2025-02-24,Cilindro,contacto leve en el área,34',No,Gol anulado
San Lorenzo,Racing,2024-06-07,Cilindro,entrada fuerte desde atrás,16',Yes,Roja
Lanús,Huracán,2025-06-04,Cilindro,simulación de falta,31',Yes,Penal
Vélez,Lanús,2024-04-05,La Bombonera,posición adelantada en el gol,16',No,Gol anulado
Vélez,San Lorenzo,2024-03-30,Nuevo Gasómetro,contacto leve en el área,39',No,Gol válido
Boca,Lanús,2025-05-14,Libertadores de América,empujón dentro del área,40',Yes,Roja
River,San Lorenzo,2024-01-22,Libertadores de América,simulación de falta,75',No,Gol anulado
Huracán,River,2024-02-22,Nuevo Gasómetro,contacto leve en el área,45',Yes,Amarilla
Huracán,Racing,2023-11-02,Cilindro,gol legítimo,56',Yes,No penal
Vélez,Huracán,2024-05-28,Cilindro,gol legítimo,3',No,Penal
Boca,Lanús,2024-01-31,La Bombonera,simulación de falta,54',Yes,Amarilla
Racing,San Lorenzo,2024-11-30,Nuevo Gasómetro,simulación de falta,46',Yes,Gol válido
Lanús,Vélez,2024-12-17,Monumental,entrada fuerte desde atrás,73',Yes,Gol anulado
Lanús,San Lorenzo,2025-04-03,Libertadores de América,mano en el área tras un centro,70',No,Amarilla
River,Independiente,2024-10-26,Nuevo Gasómetro,gol legítimo,72',No,Roja
Lanús,Vélez,2023-10-02,Cilindro,simulación de falta,60',No,Roja
Boca,Racing,2024-06-07,Monumental,gol con la mano,45',Yes,No penal
Racing,San Lorenzo,2025-05-21,Nuevo Gasómetro,empujón dentro del área,9',No,Gol válido
Huracán,San Lorenzo,2024-07-07,Monumental,entrada fuerte desde atrás,36',No,Roja
Vélez,River,2023-07-17,Cilindro,codazo en salto,50',Yes,No penal
Independiente,San Lorenzo,2025-03-05,Libertadores de América,gol con la mano,43',No,Penal
River,Racing,2024-06-27,Libertadores de América,gol con la mano,33',No,Gol válido
Boca,Racing,2024-12-20,Nuevo Gasómetro,gol legítimo,85',No,Offside
San Lorenzo,River,2024-05-04,Cilindro,empujón dentro del área,56',Yes,Offside
Lanús,Racing,2025-06-02,La Bombonera,entrada fuerte desde atrás,35',No,Roja
Racing,Lanús,2025-04-27,Libertadores de América,entrada fuerte desde atrás,25',Yes,Offside
San Lorenzo,Vélez,2023-11-05,Nuevo Gasómetro,mano en el área tras un centro,78',No,Amarilla
Vélez,Huracán,2024-01-04,Nuevo Gasómetro,mano en el área tras un centro,29',Yes,Amarilla
Racing,Lanús,2024-12-09,Cilindro,contacto leve en el área,3',No,Penal
San Lorenzo,Boca,2024-08-22,La Bombonera,entrada fuerte desde atrás,66',No,Gol válido
Lanús,Vélez,2023-12-21,Libertadores de América,gol legítimo,43',Yes,Amarilla
Vélez,Lanús,2024-07-16,Cilindro,mano en el área tras un centro,1',No,Roja
Boca,Lanús,2024-01-04,Cilindro,simulación de falta,59',Yes,Penal
Vélez,Independiente,2023-11-17,Monumental,contacto leve en el área,20',No,Penal
Racing,Boca,2024-12-09,Cilindro,gol con la mano,69',Yes,Roja
Independiente,Lanús,2023-07-25,Cilindro,simulación de falta,51',Yes,Roja
Lanús,San Lorenzo,2025-03-26,Nuevo Gasómetro,remate desviado tras rebote,5',Yes,No penal
Vélez,Boca,2024-09-29,La Bombonera,mano en el área tras un centro,56',No,Offside
Lanús,Racing,2024-12-22,La Bombonera,empujón dentro del área,19',No,No penal
Independiente,River,2024-01-25,Monumental,mano en el área tras un centro,45',Yes,Offside
Boca,San Lorenzo,2024-07-28,Libertadores de América,gol legítimo,47',No,Roja
Racing,Independiente,2024-01-08,La Bombonera,entrada fuerte desde atrás,30',Yes,No penal
Lanús,Huracán,2023-06-16,Nuevo Gasómetro,gol con la mano,15',Yes,Penal
Huracán,Boca,2024-12-31,La Bombonera,posición adelantada en el gol,10',Yes,Gol anulado
Lanús,Independiente,2023-09-14,Libertadores de América,codazo en salto,85',No,Gol válido
Racing,San Lorenzo,2023-11-25,Monumental,codazo en salto,44',Yes,Roja
Independiente,Boca,2024-06-10,Nuevo Gasómetro,empujón dentro del área,33',No,No penal
Independiente,San Lorenzo,2025-02-09,Libertadores de América,codazo en salto,56',No,Gol válido
Racing,Lanús,2024-02-03,Libertadores de América,contacto leve en el área,69',No,Amarilla
San Lorenzo,Lanús,2024-08-10,Cilindro,contacto leve en el área,72',No,Gol anulado
Boca,Huracán,2024-03-18,Nuevo Gasómetro,gol con la mano,51',No,Roja
River,San Lorenzo,2023-07-16,La Bombonera,gol legítimo,25',Yes,Gol válido
Independiente,San Lorenzo,2023-07-26,Monumental,simulación de falta,75',Yes,Offside
Vélez,Racing,2024-12-04,La Bombonera,simulación de falta,88',No,Gol anulado
Boca,Vélez,2023-06-22,La Bombonera,empujón dentro del área,45',No,No penal
Boca,Huracán,2025-02-21,Nuevo Gasómetro,gol con la mano,65',Yes,Amarilla
Boca,Huracán,2023-09-06,Nuevo Gasómetro,gol legítimo,35',Yes,Gol válido
Lanús,Racing,2025-05-30,Monumental,remate desviado tras rebote,50',No,Penal
Lanús,Racing,2023-06-26,Cilindro,entrada fuerte desde atrás,88',No,No penal
Racing,Independiente,2024-08-25,Libertadores de América,entrada fuerte desde atrás,37',No,Gol anulado
Vélez,Lanús,2024-06-06,La Bombonera,codazo en salto,72',No,Roja
Huracán,Independiente,2025-02-15,Cilindro,simulación de falta,11',Yes,Gol anulado
Lanús,Boca,2024-01-21,Libertadores de América,posición adelantada en el gol,86',Yes,Penal
Racing,Lanús,2024-06-09,Nuevo Gasómetro,posición adelantada en el gol,16',No,Roja
River,Boca,2023-11-11,La Bombonera,codazo en salto,57',Yes,Penal
River,Vélez,2023-10-24,Nuevo Gasómetro,gol con la mano,12',Yes,Gol anulado
River,Independiente,2024-06-21,Libertadores de América,posición adelantada en el gol,82',Yes,No penal
Lanús,Independiente,2024-10-17,Monumental,gol legítimo,15',Yes,Roja
Racing,Independiente,2024-01-07,Monumental,gol legítimo,20',No,No penal
Boca,Racing,2023-08-24,Cilindro,entrada fuerte desde atrás,4',Yes,Offside
Vélez,River,2024-09-07,Nuevo Gasómetro,codazo en salto,83',Yes,Penal
Lanús,San Lorenzo,2025-01-28,Nuevo Gasómetro,contacto leve en el área,43',Yes,Penal
Lanús,Independiente,2025-04-02,La Bombonera,posición adelantada en el gol,83',No,Gol anulado
Huracán,Racing,2024-10-22,Monumental,entrada fuerte desde atrás,55',Yes,Gol válido
Vélez,Huracán,2025-01-16,Nuevo Gasómetro,gol con la mano,18',Yes,Gol anulado
Vélez,Independiente,2023-12-26,Cilindro,mano en el área tras un centro,30',Yes,Gol válido
River,Racing,2024-02-17,Monumental,empujón dentro del área,42',Yes,Gol anulado
Independiente,Racing,2023-09-01,Libertadores de América,entrada fuerte desde atrás,31',Yes,Penal
San Lorenzo,Huracán,2025-04-07,Cilindro,simulación de falta,44',No,No penal
Huracán,Racing,2024-08-02,Nuevo Gasómetro,contacto leve en el área,23',No,Roja
Huracán,Vélez,2024-01-11,Nuevo Gasómetro,posición adelantada en el gol,1',Yes,Offside
Huracán,River,2023-07-17,Nuevo Gasómetro,simulación de falta,11',Yes,Amarilla
River,Independiente,2023-09-05,Monumental,contacto leve en el área,5',No,No penal
San Lorenzo,Racing,2025-04-03,Libertadores de América,contacto leve en el área,21',No,Penal
Huracán,Lanús,2025-02-22,Nuevo Gasómetro,mano en el área tras un centro,56',Yes,Gol válido
Lanús,River,2023-12-28,La Bombonera,entrada fuerte desde atrás,27',No,Amarilla
Vélez,Racing,2024-09-19,Nuevo Gasómetro,gol legítimo,51',No,No penal
Huracán,Independiente,2023-12-04,Cilindro,contacto leve en el área,88',No,Gol anulado
River,Independiente,2023-11-19,Monumental,gol legítimo,46',Yes,Roja
Racing,Boca,2025-03-08,Monumental,codazo en salto,77',Yes,Gol válido
Independiente,Boca,2024-06-24,La Bombonera,simulación de falta,63',No,Penal
Huracán,Vélez,2024-03-15,La Bombonera,remate desviado tras rebote,1',Yes,Amarilla
Lanús,Vélez,2024-11-19,Cilindro,contacto leve en el área,39',Yes,Penal
Lanús,Huracán,2023-11-30,Cilindro,remate desviado tras rebote,27',Yes,Gol anulado
Boca,Huracán,2024-05-18,Cilindro,mano en el área tras un centro,73',Yes,Roja
San Lorenzo,River,2025-06-02,Nuevo Gasómetro,gol legítimo,71',No,Gol anulado
Huracán,Independiente,2024-04-21,Monumental,simulación de falta,1',Yes,Offside
River,Vélez,2023-11-18,Libertadores de América,simulación de falta,43',Yes,Offside
Huracán,River,2024-08-09,Monumental,mano en el área tras un centro,32',Yes,Gol anulado
Vélez,San Lorenzo,2024-08-31,Nuevo Gasómetro,gol con la mano,75',Yes,Roja
Independiente,San Lorenzo,2023-07-03,Monumental,mano en el área tras un centro,27',No,Gol válido
Lanús,San Lorenzo,2025-04-21,Cilindro,entrada fuerte desde atrás,70',No,Gol válido
Boca,Huracán,2023-09-02,La Bombonera,posición adelantada en el gol,34',Yes,Offside
Racing,Huracán,2024-10-25,La Bombonera,entrada fuerte desde atrás,83',No,Penal
Racing,San Lorenzo,2025-01-17,Libertadores de América,simulación de falta,23',Yes,Amarilla
River,Independiente,2024-12-05,Libertadores de América,posición adelantada en el gol,62',No,Amarilla
Racing,River,2024-05-12,La Bombonera,codazo en salto,30',No,Gol anulado
San Lorenzo,Vélez,2023-09-08,Cilindro,entrada fuerte desde atrás,69',Yes,Roja
San Lorenzo,Independiente,2025-05-03,Cilindro,gol legítimo,33',Yes,Offside
Racing,River,2025-03-03,Nuevo Gasómetro,remate desviado tras rebote,39',No,Gol válido
Huracán,Vélez,2025-01-01,Monumental,gol legítimo,11',Yes,No penal
Racing,Vélez,2023-12-30,Libertadores de América,gol con la mano,29',Yes,Gol anulado
Huracán,Independiente,2024-08-31,Cilindro,codazo en salto,44',No,Gol anulado
